阿姨,maternal aunt; step-mother; childcare worker; nursemaid; woman of similar age to one's parents (term of address used by child); CL:個|个[ge4],Unnamed: 4
啊,"modal particle ending sentence, showing affirmation, approval, or consent",
唉,"interjection or grunt of agreement or recognition (e.g. yes, it's me!); to sigh",
哎哟,hey; ow; ouch; interjection of pain or surprise,
挨,to suffer from; to endure; to tide over (a difficult period); to delay,
癌症,cancer,
矮,low; short (in length),
爱,to love; affection; to be fond of; to like,
爱不释手,to love sth too much to part with it (idiom); to fondle admiringly,
爱戴,to love and respect; love and respect,
爱好,to like; to take pleasure in; keen on; fond of; interest; hobby; appetite for; CL:個|个[ge4],
爱护,to cherish; to treasure; to take care of; to love and protect,
暧昧,vague; ambiguous; equivocal; dubious,
爱情,romance; love (romantic); CL:個|个[ge4],
爱惜,to cherish; to treasure; to use sparingly,
爱心,compassion; CL:片[pian4],
安静,quiet; peaceful; calm,
安居乐业,live in peace and work happily (idiom),
安宁,peaceful; tranquil; calm; composed,
安排,to arrange; to plan; to set up,
安全,safe; secure; safety; security,
安慰,to comfort; to console; CL:個|个[ge4],
安详,serene,
安置,find a place for; help settle down; arrange for; to get into bed; placement,
安装,install; erect; fix; mount; installation,
岸,bank; shore; beach; coast; CL:個|个[ge4],
暗,dark; gloomy; hidden; secret; muddled; obscure; in the dark,
案件,"law case; legal case; judicial case; CL:宗[zong1],樁|桩[zhuang1],起[qi3]",
案例,case (law); CL:個|个[ge4],
按摩,massage,
按时,on time; before deadline; on schedule,
暗示,to hint; to suggest; suggestion; a hint,
按照,according to; in accordance with; in the light of; on the basis of,
昂贵,expensive; costly,
凹凸,bumpy; uneven; slotted and tabbed joint; crenelation,
熬,(of cooking) to boil for a long time; to endure; to suffer,
奥秘,profound; deep; a mystery,
八,eight; 8,
扒,to hold on to; to cling to; to dig up; to rake; to push aside; to climb; to pull out; to strip off,
疤,scar,
巴不得,to be eager for; to long for; to look forward to,
巴结,to fawn on; to curry favor with; to make up to,
拔苗助长,to spoil things through excessive enthusiasm (idiom),
把,to hold; to contain; to grasp; to take hold of; a handle; particle marking the following noun as a direct object; classifier for objects with handle,
把关,to guard a pass; to check on sth,
把手,handle; grip; knob,
把握,to grasp (also fig.); to seize; to hold; assurance; certainty; sure (of the outcome),
把戏,acrobatics; jugglery; cheap trick; game,
爸爸,"(informal) father; CL:個|个[ge4],位[wei4]",
霸道,"the Way of the Hegemon, abbr. of 霸王之道; despotic rule; rule by might; evil as opposed to the Way of the King 王道; overbearing; tyranny; (of liquor, medicine etc) strong; potent",
罢工,a strike; to go on strike,
吧,(modal particle indicating polite suggestion); ...right?; ...OK?,
掰,to break with both hands,
白,white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; surname Bai,
摆,to arrange; to exhibit; to move to and fro; a pendulum,
百,hundred; numerous; all kinds of; surname Bai,
百分点,percentage point,
摆脱,to break away from; to cast off (old ideas etc); to get rid of; to break away (from); to break out (of); to free oneself from; to extricate oneself,
拜访,pay a visit; call on,
败坏,to ruin; to corrupt; to undermine,
拜年,pay a New Year call; wish sb a Happy New Year,
拜托,request sb to do sth; please!,
搬,to move; to shift; to remove; to transport; to apply indiscriminately; to copy mechanically,
班,team; class; squad; work shift; classifier for groups; ranking; surname Ban; CL:個|个[ge4],
颁布,"to issue; to proclaim; to enact (laws, decrees etc)",
颁发,issue; promulgate; award,
斑纹,stripe; streak,
班主任,a teacher in charge of a class,
版本,version; edition; release,
半,half; semi-; incomplete; (after a number) and a half,
办法,"means; method; way (of doing sth); CL:條|条[tiao2],個|个[ge4]",
办公室,an office; business premises; a bureau; CL:間|间[jian1],
办理,to handle; to transact; to conduct,
伴侣,companion; mate; partner,
伴随,to accompany; to follow; to occur together with; attendant,
半途而废,to give up halfway (idiom); leave sth unfinished,
扮演,play the part of; act,
帮忙,to help; to lend a hand; to do a favor; to do a good turn,
帮助,assistance; aid; to help; to assist,
